,gene_names
0,A1BG
1,A1CF
2,A2M
3,A2ML1
4,A3GALT2
5,A4GALT
6,A4GNT
7,AAAS
8,AACS
9,AADAC
10,AADACL2
11,AADACL3
12,AADACL4
13,AADAT
14,AAGAB
15,AAK1
16,AAMDC
17,AAMP
18,AANAT
19,AAR2
20,AARD
21,AARS1
22,AARS2
23,AARSD1
24,AASDH
25,AASDHPPT
26,AASS
27,AATF
28,AATK
29,ABAT
30,ABCA1
31,ABCA10
32,ABCA12
33,ABCA13
34,ABCA2
35,ABCA3
36,ABCA4
37,ABCA5
38,ABCA6
39,ABCA7
40,ABCA8
41,ABCA9
42,ABCB1
43,ABCB10
44,ABCB11
45,ABCB4
46,ABCB5
47,ABCB6
48,ABCB7
49,ABCB8
50,ABCB9
51,ABCC1
52,ABCC10
53,ABCC11
54,ABCC12
55,ABCC2
56,ABCC3
57,ABCC4
58,ABCC5
59,ABCC6
60,ABCC8
61,ABCC9
62,ABCD1
63,ABCD2
64,ABCD3
65,ABCD4
66,ABCE1
67,ABCF1
68,ABCF2
69,ABCF3
70,ABCG1
71,ABCG2
72,ABCG4
73,ABCG5
74,ABCG8
75,ABHD1
76,ABHD10
77,ABHD11
78,ABHD12
79,ABHD12B
80,ABHD13
81,ABHD14A
82,ABHD14B
83,ABHD15
84,ABHD16A
85,ABHD16B
86,ABHD17A
87,ABHD17B
88,ABHD17C
89,ABHD18
90,ABHD2
91,ABHD3
92,ABHD4
93,ABHD5
94,ABHD6
95,ABHD8
96,ABI1
97,ABI2
98,ABI3
99,ABI3BP
100,ABITRAM
101,ABL1
102,ABL2
103,ABLIM1
104,ABLIM2
105,ABLIM3
106,ABO
107,ABR
108,ABRA
109,ABRACL
110,ABRAXAS1
111,ABRAXAS2
112,ABT1
113,ABTB1
114,ABTB2
115,ACAA1
116,ACAA2
117,ACACA
118,ACACB
119,ACAD10
120,ACAD11
121,ACAD8
122,ACAD9
123,ACADL
124,ACADM
125,ACADS
126,ACADSB
127,ACADVL
128,ACAN
129,ACAP1
130,ACAP2
131,ACAP3
132,ACAT1
133,ACAT2
134,ACBD3
135,ACBD4
136,ACBD5
137,ACBD6
138,ACBD7
139,ACCS
140,ACCSL
141,ACD
142,ACE
143,ACE2
144,ACER1
145,ACER2
146,ACER3
147,ACHE
148,ACIN1
149,ACKR1
150,ACKR2
151,ACKR3
152,ACKR4
153,ACLY
154,ACMSD
155,ACO1
156,ACO2
157,ACOD1
158,ACOT1
159,ACOT11
160,ACOT12
161,ACOT13
162,ACOT2
163,ACOT4
164,ACOT6
165,ACOT7
166,ACOT8
167,ACOT9
168,ACOX1
169,ACOX2
170,ACOX3
171,ACOXL
172,ACP1
173,ACP2
174,ACP4
175,ACP5
176,ACP6
177,ACP7
178,ACR
179,ACRBP
180,ACRV1
181,ACSBG1
182,ACSBG2
183,ACSF2
184,ACSF3
185,ACSL1
186,ACSL3
187,ACSL4
188,ACSL5
189,ACSL6
190,ACSM1
191,ACSM2A
192,ACSM2B
193,ACSM3
194,ACSM4
195,ACSM5
196,ACSM6
197,ACSS1
198,ACSS2
199,ACSS3
200,ACTA1
201,ACTA2
202,ACTBL2
203,ACTC1
204,ACTG2
205,ACTL10
206,ACTL6A
207,ACTL6B
208,ACTL7A
209,ACTL7B
210,ACTL8
211,ACTL9
212,ACTN1
213,ACTN2
214,ACTN3
215,ACTN4
216,ACTR10
217,ACTR1A
218,ACTR1B
219,ACTR2
220,ACTR3
221,ACTR3B
222,ACTR3C
223,ACTR5
224,ACTR6
225,ACTR8
226,ACTRT1
227,ACTRT2
228,ACTRT3
229,ACVR1
230,ACVR1B
231,ACVR1C
232,ACVR2A
233,ACVR2B
234,ACVRL1
235,ACY1
236,ACY3
237,ACYP1
238,ACYP2
239,ADA
240,ADA2
241,ADAD1
242,ADAD2
243,ADAL
