,gene_names
0,SAMD11
1,NOC2L
2,KLHL17
3,PLEKHN1
4,HES4
5,ISG15
6,AGRN
7,RNF223
8,C1orf159
9,TNFRSF18
10,TNFRSF4
11,SDF4
12,B3GALT6
13,C1QTNF12
14,UBE2J2
15,SCNN1D
16,ACAP3
17,PUSL1
18,INTS11
19,CPTP
20,TAS1R3
21,DVL1
22,MXRA8
23,AURKAIP1
24,CCNL2
25,ANKRD65
26,VWA1
27,ATAD3C
28,ATAD3B
29,ATAD3A
30,TMEM240
31,SSU72
32,FNDC10
33,MIB2
34,MMP23B
35,CDK11B
36,CDK11A
37,NADK
38,GNB1
39,CALML6
40,TMEM52
41,GABRD
42,PRKCZ
43,FAAP20
44,SKI
45,RER1
46,PEX10
47,PLCH2
48,PANK4
49,HES5
50,TNFRSF14
51,PRXL2B
52,PRDM16
53,ARHGEF16
54,MEGF6
55,TPRG1L
56,WRAP73
57,TP73
58,SMIM1
59,LRRC47
60,CEP104
61,DFFB
62,C1orf174
63,NPHP4
64,KCNAB2
65,RNF207
66,ICMT
67,GPR153
68,ACOT7
69,HES2
70,ESPN
71,TNFRSF25
72,PLEKHG5
73,NOL9
74,ZBTB48
75,KLHL21
76,PHF13
77,THAP3
78,DNAJC11
79,CAMTA1
80,VAMP3
81,PER3
82,TNFRSF9
83,ERRFI1
84,RERE
85,ENO1
86,SLC2A5
87,GPR157
88,H6PD
89,SPSB1
90,SLC25A33
91,TMEM201
92,PIK3CD
93,CLSTN1
94,CTNNBIP1
95,LZIC
96,NMNAT1
97,RBP7
98,UBE4B
99,KIF1B
100,PGD
101,CENPS
102,DFFA
103,PEX14
104,CASZ1
105,SRM
106,EXOSC10
107,MTOR
108,UBIAD1
109,FBXO2
110,FBXO44
111,MAD2L2
112,FBXO6
113,DRAXIN
114,AGTRAP
115,MTHFR
116,CLCN6
117,KIAA2013
118,PLOD1
119,MFN2
120,MIIP
121,TNFRSF8
122,TNFRSF1B
123,VPS13D
124,DHRS3
125,PDPN
126,PRDM2
127,KAZN
128,TMEM51
129,FHAD1
130,EFHD2
131,CASP9
132,DNAJC16
133,AGMAT
134,DDI2
135,PLEKHM2
136,SLC25A34
137,TMEM82
138,FBLIM1
139,UQCRHL
140,SPEN
141,ZBTB17
142,HSPB7
143,FAM131C
144,EPHA2
145,ARHGEF19
146,CPLANE2
147,FBXO42
148,SZRD1
149,NECAP2
150,NBPF1
151,CROCC
152,MFAP2
153,ATP13A2
154,SDHB
155,PADI2
156,PADI1
157,PADI3
158,PADI4
159,RCC2
160,ARHGEF10L
161,IGSF21
162,KLHDC7A
163,TAS1R2
164,ALDH4A1
165,IFFO2
166,UBR4
167,EMC1
168,MRTO4
169,AKR7A2
170,SLC66A1
171,CAPZB
172,MICOS10
173,NBL1
174,TMCO4
175,RNF186
176,OTUD3
177,PLA2G2A
178,PLA2G5
179,PLA2G2D
180,PLA2G2F
181,UBXN10
182,VWA5B1
183,CAMK2N1
184,MUL1
185,FAM43B
186,CDA
187,PINK1
188,DDOST
189,HP1BP3
190,EIF4G3
191,ECE1
192,NBPF3
193,ALPL
194,RAP1GAP
195,USP48
196,HSPG2
197,WNT4
198,ZBTB40
199,C1QA
200,C1QC
201,C1QB
202,EPHB2
203,KDM1A
204,LUZP1
205,HTR1D
206,HNRNPR
207,ZNF436
208,TCEA3
209,ASAP3
210,E2F2
211,ID3
212,ELOA
213,PITHD1
214,GALE
215,HMGCL
216,FUCA1
217,CNR2
218,PNRC2
219,SRSF10
220,MYOM3
221,IL22RA1
222,IFNLR1
223,GRHL3
224,STPG1
225,NIPAL3
226,RCAN3
227,NCMAP
228,SRRM1
229,CLIC4
230,RUNX3
231,SYF2
232,RSRP1
233,TMEM50A
234,MACO1
235,LDLRAP1
236,MAN1C1
237,SELENON
238,MTFR1L
239,AUNIP
240,PAQR7
241,STMN1
242,PAFAH2
243,SLC30A2
244,TRIM63
245,PDIK1L
246,FAM110D
247,ZNF593
248,CNKSR1
249,CEP85
250,SH3BGRL3
251,UBXN11
252,CD52
253,CRYBG2
254,DHDDS
255,ARID1A
256,PIGV
257,ZDHHC18
258,SFN
259,GPN2
260,GPATCH3
261,NUDC
262,NR0B2
263,KDF1
264,TRNP1
265,TENT5B
266,SLC9A1
267,WDTC1
268,TMEM222
269,SYTL1
270,MAP3K6
271,FCN3
272,GPR3
273,WASF2
274,AHDC1
275,FGR
276,IFI6
277,FAM76A
278,STX12
279,PPP1R8
280,THEMIS2
281,RPA2
