gene,group
ABO,Endothelial Cell
ADGRL4,Endothelial Cell
AVPR2,Endothelial Cell
BCAM,Endothelial Cell
BCL6B,Endothelial Cell
BMP2,Endothelial Cell
BMPER,Endothelial Cell
CA4,Endothelial Cell
CALCRL,Endothelial Cell
CARD10,Endothelial Cell
CAV2,Endothelial Cell
CAVIN2,Endothelial Cell
CCL16,Endothelial Cell
CCL23,Endothelial Cell
CD109,Endothelial Cell
CD34,Endothelial Cell
CD93,Endothelial Cell
CDH5,Endothelial Cell
CFH,Endothelial Cell
CH25H,Endothelial Cell
CLDN5,Endothelial Cell
CLEC14A,Endothelial Cell
CNKSR3,Endothelial Cell
COL4A1,Endothelial Cell
COL4A2,Endothelial Cell
CPXM2,Endothelial Cell
CTNNAL1,Endothelial Cell
CX3CL1,Endothelial Cell
CXCL2,Endothelial Cell
CXCL5,Endothelial Cell
DLL4,Endothelial Cell
EDN1,Endothelial Cell
EGFL7,Endothelial Cell
ENG,Endothelial Cell
ERG,Endothelial Cell
FAM107A,Endothelial Cell
FENDRR,Endothelial Cell
FLT4,Endothelial Cell
FZD4,Endothelial Cell
GABRA2,Endothelial Cell
GIPC2,Endothelial Cell
GJA1,Endothelial Cell
HOXD9,Endothelial Cell
HSPA2,Endothelial Cell
HSPG2,Endothelial Cell
IGFBP2,Endothelial Cell
IL1R1,Endothelial Cell
IL33,Endothelial Cell
INHBB,Endothelial Cell
INMT,Endothelial Cell
ITGB4,Endothelial Cell
JAM2,Endothelial Cell
KDR,Endothelial Cell
KL,Endothelial Cell
LIFR,Endothelial Cell
LIPG,Endothelial Cell,Mature Conventional Dendritic Cell
LOX,Endothelial Cell
LRG1,Endothelial Cell
LRRC32,Endothelial Cell
MAGI1,Endothelial Cell
MALL,Endothelial Cell
MAPK11,Endothelial Cell
MAPK12,Endothelial Cell
MARCO,Endothelial Cell
MCAM,Endothelial Cell
MECOM,Endothelial Cell
MET,Endothelial Cell
MMRN2,Endothelial Cell
MYOF,Endothelial Cell
NES,Endothelial Cell
NOS3,Endothelial Cell
NOSTRIN,Endothelial Cell
NOTCH4,Endothelial Cell,Plasmacytoid Dendritic Cell
NPR1,Endothelial Cell
NPR3,Endothelial Cell
NR5A2,Endothelial Cell
NTS,Endothelial Cell
PALMD,Endothelial Cell
PCDH17,Endothelial Cell
PDE2A,Endothelial Cell
PECAM1,Endothelial Cell
PHLDB2,Endothelial Cell
PLAT,Endothelial Cell,Mast Cell
PLVAP,Endothelial Cell
PODXL,Endothelial Cell
PROX1,Endothelial Cell
RAPGEF3,Endothelial Cell
ROBO4,Endothelial Cell
SELP,Endothelial Cell
SEMA3F,Endothelial Cell
SERPINA3,Endothelial Cell
SERPINE1,Endothelial Cell
SFRP1,Endothelial Cell
SHANK3,Endothelial Cell
SLC2A1,Endothelial Cell
SMAD1,Endothelial Cell
SNAP25,Endothelial Cell
SOCS2,Endothelial Cell
SOX17,Endothelial Cell
SOX18,Endothelial Cell
SPHK1,Endothelial Cell
STAB1,Endothelial Cell
STC2,Endothelial Cell
TACC2,Endothelial Cell
TACR1,Endothelial Cell
TAL1,Endothelial Cell,Mast Cell
TEK,Endothelial Cell
TFPI,Endothelial Cell
THY1,Endothelial Cell
TIE1,Endothelial Cell
TINAGL1,Endothelial Cell
TMEM100,Endothelial Cell
TNFRSF6B,Endothelial Cell
TRPM4,Endothelial Cell
TSBP1,Endothelial Cell
TSPAN12,Endothelial Cell
TSPAN7,Endothelial Cell
AIRE,Hematopoietic Stem Cell,Mature Conventional Dendritic Cell
CCL17,Hematopoietic Stem Cell,Mature Conventional Dendritic Cell
LAD1,Hematopoietic Stem Cell,Mature Conventional Dendritic Cell
LAMP3,Hematopoietic Stem Cell,Mature Conventional Dendritic Cell
AQP9,Classical Monocyte,Neutrophil
C5AR1,Classical Monocyte,Macrophage,Intermediate Monocyte,Non Classical Monocyte
CD300E,Classical Monocyte,CD1c+ Myeloid Dendritic Cell,Intermediate Monocyte,CD141+ Myeloid Dendritic Cell
CLEC12A,Classical Monocyte,CD1c+ Myeloid Dendritic Cell,Intermediate Monocyte,CD141+ Myeloid Dendritic Cell,Mast Cell
CLEC4D,Classical Monocyte,Intermediate Monocyte,Neutrophil
CSF3R,Classical Monocyte,CD1c+ Myeloid Dendritic Cell,Macrophage,Intermediate Monocyte,Neutrophil
CX3CR1,Classical Monocyte,CD1c+ Myeloid Dendritic Cell,Intermediate Monocyte,CD141+ Myeloid Dendritic Cell
