cell_id,group
aaaagjbk-1,tumor
aaachmja-1,tumor
aaaeabhb-1,tumor
aaajopgl-1,tumor
aaakbndh-1,tumor
aaamhfgg-1,tumor
aaancbnn-1,tumor
aaanciag-1,tumor
aabcjafe-1,tumor
aabhhgjo-1,tumor
aabhjmjl-1,tumor
aabjldmc-1,tumor
aabjlgfa-1,tumor
aabjonod-1,tumor
aabkcmgl-1,tumor
aabkhkac-1,tumor
aabkhnap-1,tumor
aabomelg-1,tumor
aabppild-1,tumor
aacalbjn-1,tumor
aacbfknh-1,tumor
aacjdhpk-1,tumor
aacjpbfl-1,tumor
aackmkea-1,tumor
aacmonnk-1,tumor
aacoddbd-1,tumor
aacpmnnk-1,tumor
aadaiabh-1,tumor
aadhfleo-1,tumor
aadkfmdb-1,tumor
aadkjihi-1,tumor
aadknkac-1,tumor
aadlbbkc-1,tumor
aadpabpb-1,tumor
aaebppdm-1,tumor
aaeclhgj-1,tumor
aaecmkoa-1,tumor
aaedfamc-1,tumor
aaedoiek-1,tumor
aaeicink-1,tumor
aaejbpkd-1,tumor
aaekghhg-1,tumor
aaeloggo-1,tumor
aafdcidi-1,tumor
aaffhjpk-1,tumor
aafmednn-1,tumor
aafpccbh-1,tumor
aagpnbmd-1,tumor
aahdkcdl-1,tumor
aahfkahk-1,tumor
aahhflak-1,tumor
aahifhjk-1,tumor
aahjbpfj-1,tumor
aahjilib-1,tumor
aahjjdpo-1,tumor
aaibbaco-1,tumor
aaidjbap-1,tumor
aaieldbc-1,tumor
aaigofoh-1,tumor
aailbopf-1,tumor
aajcdffa-1,normal
aajdnnpa-1,tumor
aajegbjj-1,normal
aajekhbi-1,normal
aajeplbe-1,tumor
aajghamk-1,tumor
aajgidoj-1,normal
aajnkblk-1,tumor
aajojibc-1,tumor
aakhjiki-1,tumor
aaklelbg-1,tumor
aaklnnbm-1,normal
aaknnack-1,tumor
aaknonon-1,tumor
aalacjmk-1,tumor
aalbakkk-1,tumor
aalfgimc-1,tumor
aalhcomp-1,tumor
aalibnbj-1,tumor
aaljaack-1,tumor
aaljflnj-1,normal
aaljmndl-1,tumor
aaloanfh-1,tumor
aalpkkmd-1,tumor
aamajaip-1,tumor
aamflall-1,tumor
aamfpdol-1,tumor
aaminako-1,tumor
aamlpkem-1,tumor
aammiffi-1,tumor
aamnbbon-1,tumor
aamnpdhk-1,tumor
aamobhfe-1,tumor
aamoeone-1,tumor
aampoihm-1,tumor
aanehdbc-1,tumor
aanfcndl-1,tumor
aanfmnfn-1,tumor
aanhhmla-1,tumor
aanipjik-1,tumor
aaoccnjn-1,normal
aaociblo-1,normal
aaodlehk-1,tumor
aaodmbdb-1,tumor
aaoifndl-1,tumor
aaoihfag-1,tumor
aaokndga-1,tumor
aaoobbnm-1,normal
aaoohlmd-1,tumor
aapdahcl-1,tumor
aapedfmi-1,tumor
aapgoicp-1,tumor
aaplmgkl-1,tumor
abachacl-1,tumor
abacihog-1,tumor
abagacdc-1,tumor
abahehjj-1,tumor
abaiemgb-1,tumor
abaijggn-1,tumor
abakniag-1,tumor
abalcjld-1,tumor
abaliemm-1,tumor
abalohem-1,tumor
abanifpm-1,tumor
abaokomg-1,tumor
abbcldak-1,tumor
abbedmni-1,tumor
abbfpbib-1,tumor
