gene	chromosome	start	end	CNV_value
A2ML1	chr12	8822621	8887001	-0.06245676698558549
AAMP	chr2	218264123	218270257	0.04712961019326936
AAR2	chr20	36236459	36270918	-0.00019598363105757823
AARSD1	chr17	42950526	42964498	0.04205552195059332
ABAT	chr16	8674596	8784575	0.0024196002195725906
ABCA1	chr9	104781006	104928155	0.0002732261691292298
ABCA10	chr17	69147214	69244846	0.0008409202013293028
ABCA3	chr16	2275881	2340746	0.004755963562036013
ABCA4	chr1	93992834	94121148	0.00046837332385327163
ABCA6	chr17	69078702	69141895	0.0005195564121448308
ABCA7	chr19	1039997	1065572	0.0007065477887497425
ABCA9	chr17	68974488	69060949	0.0005195564121448308
ABCB1	chr7	87503017	87713323	0.02361533438366936
ABCB4	chr7	87401697	87480435	0.02361533438366936
ABCB6	chr2	219209772	219218994	0.04712961019326936
ABCC1	chr16	15949577	16143074	0.0013526902526049963
ABCC12	chr16	48081006	48156018	0.0011365189923910432
ABCC2	chr10	99782640	99852594	-0.00031275390490111805
ABCC3	chr17	50634777	50692253	0.06138244893997961
ABCC4	chr13	95019835	95301475	-0.007268806026474949
ABCC6	chr16	16148928	16223522	0.0013526902526049963
ABCC8	chr11	17392498	17476879	0.00039305162882094546
ABCC9	chr12	21797401	21942529	-0.019128248055308644
ABCD1	chrX	153724856	153744755	
ABCD3	chr1	94418389	94518666	0.00046837332385327163
ABCD4	chr14	74285269	74303055	-0.08500630126655599
ABCF3	chr3	184186023	184194012	0.0006244303440802904
ABCG1	chr21	42199689	42297244	-0.0004919134136229591
ABCG2	chr4	88090150	88231628	-0.09024349304344671
ABHD11	chr7	73736094	73738867	0.007364943431711107
ABHD6	chr3	58237532	58295693	-0.034581866126714336
ABI3	chr17	49210411	49223225	0.07535126543253585
ABI3BP	chr3	100749156	100993515	-0.010707034398929586
ABL1	chr9	130713016	130887675	0.08989715278363561
ABL2	chr1	179099330	179229684	-0.0023899609050197826
ABO	chr9	133250401	133276024	0.1262471458481143
ABTB1	chr3	127672935	127680926	-4.6802366466423495e-05
ABTB2	chr11	34150987	34358010	0.0005369828061021761
ACAA2	chr18	49782164	49813953	-0.03381473962030213
ACACA	chr17	37084992	37406836	0.15987255528592378
ACACB	chr12	109116595	109268226	-1.4710326879244473e-05
ACAP1	chr17	7336529	7351477	-0.0831837900968406
ACAP2	chr3	195274745	195443044	0.000763830438812138
ACAT1	chr11	108116695	108147603	-0.01061669625336271
ACE	chr17	63477061	63498380	0.0006450976308161934
ACE2	chrX	15561033	15602148	
ACHE	chr7	100889994	100896974	0.0006075267652087388
ACKR1	chr1	159203307	159206500	-0.0046171018609826465
ACKR3	chr2	236567787	236582354	0.00869518892229871
ACLY	chr17	41866917	41930542	0.14850357945176026
ACOD1	chr13	76948511	76958638	-0.009424855004045435
ACP5	chr19	11574660	11579008	0.02890830333847734
ACPP	chr3	132317369	132368298	-4.961949320535454e-05
ACRBP	chr12	6638075	6647433	-0.067834381043737
ACRV1	chr11	125671522	125680874	-0.0025993242248592827
ACSL4	chrX	109624244	109733403	
ACTA2	chr10	88935074	88991339	-0.00011881564136523367
ACTBL2	chr5	57480018	57482811	0.0009127546266015542
ACTL6A	chr3	179562886	179588407	0.0003967077982037563
ACTL7A	chr9	108862266	108863756	0.0002732261691292298
ACTN1	chr14	68874143	68979440	-0.05764698793466415
ACTN2	chr1	236664141	236764631	0.1126137462508947
ACTN4	chr19	38647649	38731589	8.397444375947614e-06
ACVR1	chr2	157736444	157876330	1.0182691168045107e-06
ACVR1B	chr12	51951699	51997078	-7.851452747788239e-05
ACVR2A	chr2	147844517	147930826	-3.542801878991141e-05
ACVRL1	chr12	51906908	51923361	-7.851452747788239e-05
ACYP2	chr2	53970838	54305300	0.00013370561209632298
ADA	chr20	44619522	44652233	-0.0001576837495814946
ADAM10	chr15	58588809	58749791	0.003778471682409656
ADAM12	chr10	126012381	126388455	-0.08460334718759766
ADAM17	chr2	9488486	9556732	0.0011069364036231303
ADAM28	chr8	24294069	24359014	6.150810544858858e-05
ADAM33	chr20	3667965	3682246	-0.0013010007569408417
ADAM8	chr10	133262420	133276868	
ADAM9	chr8	38996869	39105261	0.00018892072028431134
ADAMDEC1	chr8	24384285	24406013	6.150810544858858e-05
ADAMTS1	chr21	26835755	26845409	-0.0004919134136229591
ADAMTS12	chr5	33523535	33892019	0.002921602584131437
ADAMTS19	chr5	129460281	129738683	0.0028060040347154002
ADAMTS2	chr5	179110853	179345461	-0.00156094931121706
ADAMTS4	chr1	161184302	161199054	-0.026093719491998346
ADAMTS5	chr21	26917922	26967088	-0.0004919134136229591
ADAMTSL3	chr15	83654088	84039842	-0.000611215282787413
ADAR	chr1	154582057	154628013	0.0033458577655039426
ADCY2	chr5	7396138	7830081	0.005386741082788252
ADCYAP1	chr18	904871	912172	-0.029405424639585172
ADCYAP1R1	chr7	31052461	31111479	-7.848620646750028e-05
ADD1	chr4	2843857	2930076	-0.13543776502304397
ADGRA1	chr10	133070929	133131675	-0.08460334718759766
ADGRA2	chr8	37784191	37844896	0.00021480867466759364
ADGRA3	chr4	22345071	22516066	-0.12133224495448075
ADGRB1	chr8	142449430	142545009	0.006421408472578152
ADGRB2	chr1	31727117	31764893	0.002703013181809804
ADGRD1	chr12	130953907	131141469	
ADGRD2	chr9	124451425	124478589	0.027767993957379063
ADGRE1	chr19	6887566	6940459	0.0008890449453730467
ADGRE2	chr19	14732392	14778560	0.022033621157534114
ADGRE5	chr19	14380501	14408725	0.022033621157534114
ADGRG5	chr16	57542643	57591681	0.005952108749636475
ADGRG6	chr6	142301854	142446266	0.0291946762571223
ADGRL1	chr19	14147743	14206187	0.022033621157534114
ADGRL4	chr1	78889764	79282124	0.00042704823914014586
ADGRV1	chr5	90529344	91164437	0.0007951827129060911
ADIPOQ	chr3	186842704	186858463	0.0008641157790360995
ADIPOR1	chr1	202940826	202958572	0.00010796952266883792
ADIPOR2	chr12	1688574	1788674	-0.029111438765546456
ADM	chr11	10305073	10307397	0.0003643558844173163
ADNP	chr20	50888916	50931437	-0.000336274174793978
ADORA1	chr1	203090654	203167405	0.00010796952266883792
ADORA2A	chr22	24417879	24442357	0.0016049039426985318
ADORA2B	chr17	15944917	15975746	-0.0016948967086537437
ADORA3	chr1	111499429	111503633	0.000568165470478334
ADRA1A	chr8	26748150	26867278	0.0001365661769422252
ADRA1B	chr5	159865080	159973012	-0.00665117178142286
ADRA1D	chr20	4220630	4249287	-0.0005827689728791822
ADRA2A	chr10	111077029	111080907	-0.0034312916843590516
ADRA2B	chr2	96112876	96116571	-5.285337936843565e-05
ADRA2C	chr4	3766348	3768526	-0.13004131408159444
ADRB1	chr10	114043866	114046904	-0.0034312916843590516
ADRB2	chr5	148825245	148828687	-7.430581050845983e-05
ADRB3	chr8	37962990	37966599	0.00021480867466759364
ADTRP	chr6	11712054	11807046	-0.00014473675024242463
AEBP1	chr7	44104345	44114562	6.874616514815643e-05
AFAP1L2	chr10	114294824	114404756	-0.0034312916843590516
AFF1	chr4	86935002	87141054	-0.09024349304344671
AFF2	chrX	148500617	149000663	
AFF3	chr2	99545419	100192428	-5.285337936843565e-05
AFG1L	chr6	108294991	108526796	0.026950898656687563
AFM	chr4	73481745	73504001	-0.08953452306266499
AGAP1	chr2	235494043	236131800	0.00869518892229871
AGAP3	chr7	151085831	151144436	-3.2155516831104314e-05
AGER	chr6	32180968	32184322	5.351353544756713e-05
AGMAT	chr1	15571699	15585051	0.000641076214575656
AGO1	chr1	35869808	35930532	0.007090505912763734
AGR3	chr7	16859412	16881987	-0.00026868920080740685
AGRP	chr16	67482571	67483813	0.009100296179279464
AGTR1	chr3	148697784	148743008	0.00010377308115007898
AGTR2	chrX	116170744	116174974	
AGXT	chr2	240868824	240880502	
AHCY	chr20	34280268	34311802	-0.0002779070822181201
AHR	chr7	16916359	17346152	-0.0002791836801827818
AHRR	chr5	271670	438291	0.008541772995529861
AHSG	chr3	186613060	186621318	0.0008641157790360995
AICDA	chr12	8602170	8612867	-0.06245676698558549
AIF1L	chr9	131096476	131123152	0.08989715278363561
AIFM1	chrX	130129362	130165887	
AIM2	chr1	159062484	159147096	-0.0046171018609826465
AIMP2	chr7	6009255	6023834	-4.729841684267593e-05
AIP	chr11	67483026	67491103	0.009529436209786047
AIRE	chr21	44285838	44298648	-0.0004919134136229591
AJAP1	chr1	4654609	4792534	0.0037400227849095987
AKAP11	chr13	42272152	42323261	-0.014834279020482018
AKAP4	chrX	50190777	50201007	
AKAP8	chr19	15353385	15379798	0.008840247738418376
AKR1B1	chr7	134442356	134459284	3.6567375335077536e-05
AKR1C3	chr10	5035354	5107686	-0.032771326480445666
AKT1	chr14	104769349	104795751	-0.05453383912870634
AKT2	chr19	40230317	40285536	4.6450438081048194e-05
AKT3	chr1	243488233	243851079	0.13960872772036745
AKTIP	chr16	53491040	53504411	0.0015930165906617704
ALAD	chr9	113386312	113401290	0.0015528432279981355
ALCAM	chr3	105366909	105576900	-0.010707034398929586
ALDH1B1	chr9	38392702	38398661	-0.04108948254634385
ALDH2	chr12	111766887	111817532	2.481329132138371e-06
ALDH3A2	chr17	19648136	19685760	-8.797099307625445e-05
ALDH7A1	chr5	126531200	126595362	0.0019488247956638896
ALDOA	chr16	30064164	30070457	0.0007237163116299317
ALG11	chr13	52012398	52033600	-0.011062722026995882
ALG13	chrX	111665811	111760649	
ALG2	chr9	99216425	99221942	0.0002732261691292298
ALG6	chr1	63367575	63438553	0.0021664898695518847
ALG9	chr11	111782195	111871581	-0.00712746846657141
ALK	chr2	29192774	29921586	0.0006508387604871469
ALKBH5	chr17	18183078	18209954	-0.00029845357458371027
ALOX12	chr17	6996049	7010754	-0.09502533670864402
ALOX15	chr17	4630919	4642294	-0.09339503926227377
ALOX5	chr10	45374176	45446119	-0.00035699643743521413
ALPK1	chr4	112285509	112442621	-0.05947985058414736
ALPK3	chr15	84816680	84873482	-0.000611215282787413
ALPL	chr1	21509397	21578410	0.0003457959525731649
ALX1	chr12	85280220	85301784	2.240002122937098e-05
ALYREF	chr17	81887835	81891586	0.009892477408176966
AMACR	chr5	33986165	34008104	0.002921602584131437
AMER1	chrX	64185117	64205708	
AMFR	chr16	56361452	56425545	0.0026440657695812153
AMH	chr19	2249309	2252073	0.0003760747592308218
AMIGO1	chr1	109504178	109509738	0.0006559449915593991
AMIGO3	chr3	49716829	49719684	-0.03629245268400803
AMOT	chrX	112774503	112840815	
ANAPC1	chr2	111611639	111884690	-0.00020503510995936638
ANGPT1	chr8	107249482	107498055	0.003194944585899933
ANGPT2	chr8	6499651	6563409	-0.00038707180952460594
ANGPTL2	chr9	127087348	127122635	0.027767993957379063
